pos 8: 2054, pos 9: 2056 || time: 0
pos 8: 2054, pos 9: 2056 || time: 0
pos 8: 2054, pos 9: 2056 || time: 0
pos 8: 2055, pos 9: 2056 || time: 0
pos 8: 2057, pos 9: 2056 || time: 0
pos 8: 2060, pos 9: 2057 || time: 0
pos 8: 2065, pos 9: 2059 || time: 0
pos 8: 2071, pos 9: 2063 || time: 0
pos 8: 2077, pos 9: 2068 || time: 0
pos 8: 2083, pos 9: 2074 || time: 0
pos 8: 2089, pos 9: 2081 || time: 0
pos 8: 2095, pos 9: 2086 || time: 0
pos 8: 2101, pos 9: 2093 || time: 0
pos 8: 2107, pos 9: 2098 || time: 0
pos 8: 2112, pos 9: 2104 || time: 0
pos 8: 2116, pos 9: 2108 || time: 0
pos 8: 2117, pos 9: 2110 || time: 0
pos 8: 2117, pos 9: 2111 || time: 0
pos 8: 2118, pos 9: 2112 || time: 0
pos 8: 2118, pos 9: 2112 || time: 0
pos 8: 2119, pos 9: 2112 || time: 0
pos 8: 2119, pos 9: 2112 || time: 0
pos 8: 2119, pos 9: 2112 || time: 0
pos 8: 2119, pos 9: 2112 || time: 1
pos 8: 2119, pos 9: 2112 || time: 1
pos 8: 2122, pos 9: 2114 || time: 1
pos 8: 2126, pos 9: 2117 || time: 1
pos 8: 2132, pos 9: 2121 || time: 1
pos 8: 2137, pos 9: 2126 || time: 1
pos 8: 2143, pos 9: 2131 || time: 1
pos 8: 2149, pos 9: 2136 || time: 1
pos 8: 2155, pos 9: 2141 || time: 1
pos 8: 2160, pos 9: 2146 || time: 1
pos 8: 2166, pos 9: 2152 || time: 1
pos 8: 2172, pos 9: 2157 || time: 1
pos 8: 2178, pos 9: 2162 || time: 1
pos 8: 2181, pos 9: 2165 || time: 1
pos 8: 2182, pos 9: 2167 || time: 1
pos 8: 2183, pos 9: 2167 || time: 1
pos 8: 2184, pos 9: 2167 || time: 1
pos 8: 2184, pos 9: 2167 || time: 1
pos 8: 2184, pos 9: 2167 || time: 1
pos 8: 2184, pos 9: 2167 || time: 1
pos 8: 2184, pos 9: 2167 || time: 1
pos 8: 2185, pos 9: 2167 || time: 1
pos 8: 2188, pos 9: 2168 || time: 1
pos 8: 2192, pos 9: 2168 || time: 1
pos 8: 2197, pos 9: 2169 || time: 1
pos 8: 2203, pos 9: 2171 || time: 1
pos 8: 2209, pos 9: 2172 || time: 2
pos 8: 2215, pos 9: 2173 || time: 2
pos 8: 2221, pos 9: 2174 || time: 2
pos 8: 2227, pos 9: 2174 || time: 2
pos 8: 2234, pos 9: 2175 || time: 2
pos 8: 2240, pos 9: 2177 || time: 2
pos 8: 2242, pos 9: 2178 || time: 2
pos 8: 2244, pos 9: 2178 || time: 2
pos 8: 2245, pos 9: 2178 || time: 2
pos 8: 2245, pos 9: 2178 || time: 2
pos 8: 2245, pos 9: 2178 || time: 2
pos 8: 2248, pos 9: 2178 || time: 2
pos 8: 2250, pos 9: 2178 || time: 2
pos 8: 2254, pos 9: 2178 || time: 2
