pos 8: 2055, pos 9: 2055 || time: 0
pos 8: 2055, pos 9: 2055 || time: 0
pos 8: 2055, pos 9: 2055 || time: 0
pos 8: 2055, pos 9: 2055 || time: 0
pos 8: 2057, pos 9: 2055 || time: 0
pos 8: 2061, pos 9: 2056 || time: 0
pos 8: 2065, pos 9: 2058 || time: 0
pos 8: 2071, pos 9: 2062 || time: 0
pos 8: 2077, pos 9: 2068 || time: 1
pos 8: 2082, pos 9: 2074 || time: 1
pos 8: 2089, pos 9: 2080 || time: 1
pos 8: 2094, pos 9: 2086 || time: 1
pos 8: 2097, pos 9: 2090 || time: 1
pos 8: 2099, pos 9: 2091 || time: 1
pos 8: 2100, pos 9: 2094 || time: 1
pos 8: 2100, pos 9: 2094 || time: 1
pos 8: 2100, pos 9: 2094 || time: 1
pos 8: 2101, pos 9: 2094 || time: 1
pos 8: 2101, pos 9: 2094 || time: 1
pos 8: 2101, pos 9: 2094 || time: 1
pos 8: 2103, pos 9: 2095 || time: 1
pos 8: 2108, pos 9: 2098 || time: 1
pos 8: 2112, pos 9: 2102 || time: 1
pos 8: 2115, pos 9: 2104 || time: 1
pos 8: 2116, pos 9: 2106 || time: 1
pos 8: 2118, pos 9: 2108 || time: 1
pos 8: 2122, pos 9: 2110 || time: 1
pos 8: 2127, pos 9: 2112 || time: 1
pos 8: 2132, pos 9: 2117 || time: 1
pos 8: 2139, pos 9: 2122 || time: 1
pos 8: 2143, pos 9: 2126 || time: 1
pos 8: 2146, pos 9: 2129 || time: 1
pos 8: 2148, pos 9: 2130 || time: 1
pos 8: 2150, pos 9: 2131 || time: 1
pos 8: 2153, pos 9: 2132 || time: 2
pos 8: 2157, pos 9: 2134 || time: 2
pos 8: 2159, pos 9: 2136 || time: 2
pos 8: 2161, pos 9: 2138 || time: 2
pos 8: 2162, pos 9: 2138 || time: 2
pos 8: 2165, pos 9: 2139 || time: 2
pos 8: 2169, pos 9: 2141 || time: 2
pos 8: 2175, pos 9: 2144 || time: 2
pos 8: 2180, pos 9: 2146 || time: 2
pos 8: 2186, pos 9: 2148 || time: 2
pos 8: 2192, pos 9: 2151 || time: 2
pos 8: 2198, pos 9: 2153 || time: 2
pos 8: 2204, pos 9: 2154 || time: 2
pos 8: 2207, pos 9: 2155 || time: 2
pos 8: 2208, pos 9: 2155 || time: 2
pos 8: 2209, pos 9: 2155 || time: 2
pos 8: 2210, pos 9: 2155 || time: 2
pos 8: 2210, pos 9: 2155 || time: 2
pos 8: 2210, pos 9: 2155 || time: 2
pos 8: 2210, pos 9: 2155 || time: 2
pos 8: 2210, pos 9: 2155 || time: 2
pos 8: 2212, pos 9: 2155 || time: 2
pos 8: 2217, pos 9: 2155 || time: 2
pos 8: 2223, pos 9: 2155 || time: 2
pos 8: 2229, pos 9: 2155 || time: 2
pos 8: 2235, pos 9: 2155 || time: 2
pos 8: 2240, pos 9: 2155 || time: 3
pos 8: 2246, pos 9: 2155 || time: 3
pos 8: 2253, pos 9: 2155 || time: 3
pos 8: 2258, pos 9: 2155 || time: 3
pos 8: 2262, pos 9: 2155 || time: 3
pos 8: 2263, pos 9: 2155 || time: 3
pos 8: 2264, pos 9: 2155 || time: 3
pos 8: 2264, pos 9: 2155 || time: 3
pos 8: 2264, pos 9: 2155 || time: 3
pos 8: 2264, pos 9: 2155 || time: 3
pos 8: 2265, pos 9: 2155 || time: 3
pos 8: 2265, pos 9: 2155 || time: 3
pos 8: 2266, pos 9: 2155 || time: 3
pos 8: 2269, pos 9: 2155 || time: 3
pos 8: 2271, pos 9: 2155 || time: 3
pos 8: 2273, pos 9: 2155 || time: 3
pos 8: 2276, pos 9: 2155 || time: 3
pos 8: 2279, pos 9: 2155 || time: 3
pos 8: 2281, pos 9: 2155 || time: 3
pos 8: 2284, pos 9: 2155 || time: 3
pos 8: 2286, pos 9: 2155 || time: 3
pos 8: 2289, pos 9: 2155 || time: 3
pos 8: 2291, pos 9: 2155 || time: 3
pos 8: 2293, pos 9: 2155 || time: 3
pos 8: 2295, pos 9: 2155 || time: 3
pos 8: 2297, pos 9: 2155 || time: 4
pos 8: 2298, pos 9: 2155 || time: 4
pos 8: 2299, pos 9: 2155 || time: 4
pos 8: 2299, pos 9: 2155 || time: 4
pos 8: 2299, pos 9: 2155 || time: 4
pos 8: 2300, pos 9: 2155 || time: 4
pos 8: 2301, pos 9: 2155 || time: 4
pos 8: 2301, pos 9: 2155 || time: 4
pos 8: 2302, pos 9: 2155 || time: 4
pos 8: 2303, pos 9: 2155 || time: 4
pos 8: 2303, pos 9: 2155 || time: 4
pos 8: 2304, pos 9: 2155 || time: 4
pos 8: 2304, pos 9: 2155 || time: 4
pos 8: 2305, pos 9: 2155 || time: 4
pos 8: 2305, pos 9: 2155 || time: 4
pos 8: 2306, pos 9: 2155 || time: 4
pos 8: 2306, pos 9: 2155 || time: 4
pos 8: 2307, pos 9: 2155 || time: 4
pos 8: 2308, pos 9: 2155 || time: 4
pos 8: 2308, pos 9: 2155 || time: 4
pos 8: 2308, pos 9: 2155 || time: 4
pos 8: 2309, pos 9: 2155 || time: 4
pos 8: 2310, pos 9: 2155 || time: 4
pos 8: 2310, pos 9: 2155 || time: 4
pos 8: 2310, pos 9: 2155 || time: 4
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 5
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 6
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 7
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 8
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 9
pos 8: 2311, pos 9: 2155 || time: 10
pos 8: 2311, pos 9: 2155 || time: 10
pos 8: 2311, pos 9: 2155 || time: 10
pos 8: 2311, pos 9: 2155 || time: 10
pos 8: 2311, pos 9: 2155 || time: 10
